VehicleName	      TimeStamp	      POS_X	POS_Y	POS_Z	      Q_W	     Q_X	Q_Y	Q_Z	      vx	vy	vz	   Angular_vx	Angular_vy	Angular_vz	  AccX	      AccY	      AccZ	      AccAX	AccAY	AccAZ	Pressure	ImageFile
SimpleFlight	1674395071578	0	0	1.35507	0.984808	0	0	0.173648	0	0	-0.470153	-0.00168661	0.00385782	-0.00321485	-0.0168848	0.0423601	-9.84162	0	0	0	99883.1	img_1674395075937248500.png;img_1674395075939932500.ppm;img_1674395076125201800.ppm
SimpleFlight	1674395072286	0	0	1.01644	0.984808	0	0	0.173648	0	0	-0.484559	-0.00291136	0.0028328	-0.00169366	-0.0519148	-0.053902	-9.80453	0	0	0	99876.2	img_1674395076611348600.png;img_1674395076616213700.ppm;img_1674395076835499600.ppm
SimpleFlight	1674395072886	0	0	0.723725	0.984808	0	0	0.173648	0	0	-0.49049	-0.000100187	-0.00117542	-0.000181569	-0.0380117	0.0110377	-9.91226	0	0	0	99877.1	img_1674395077305615900.png;img_1674395077318469500.ppm;img_1674395077535095200.ppm
SimpleFlight	1674395073567	0	0	0.388409	0.984808	0	0	0.173648	0	0	-0.49385	0.000121415	-0.000708806	-0.00106746	-0.0372704	0.0628252	-9.86053	0	0	0	99870.4	img_1674395078133888600.png;img_1674395078135165100.ppm;img_1674395078236215100.ppm
SimpleFlight	1674395074188	0	0	0.180706	0.984808	0	0	0.173648	0	0	0.166773	0.00251772	-0.00116704	-0.000259569	-0.0134255	-0.0528693	-8.08028	0	0	0	99872.3	img_1674395078783083700.png;img_1674395078786413800.ppm;img_1674395078879039700.ppm
SimpleFlight	1674395074641	0	0	0.285589	0.984808	0	0	0.173648	0	0	0.231933	0.00140925	0.00150207	0.000273346	0.0103062	0.0163416	-9.88777	0	0	0	99871	img_1674395079118732100.png;img_1674395079119653900.ppm;img_1674395079239072900.ppm
SimpleFlight	1674395075274	0	0	0.427295	0.984808	0	0	0.173648	0	0	0.217443	0.00197596	-0.00197834	-0.00251279	-0.03176	-0.050298	-9.78354	0	0	0	99866.8	img_1674395079811823900.png;img_1674395079824977400.ppm;img_1674395079936248200.ppm
SimpleFlight	1674395075973	0	0	0.576242	0.984808	0	0	0.173648	0	0	0.209701	0.000153457	0.00105047	-0.000746968	0.0519196	0.0065688	-9.8327	0	0	0	99875.1	img_1674395080500843000.png;img_1674395080501554900.ppm;img_1674395080630663300.ppm
SimpleFlight	1674395076828	0	0	0.753526	0.984808	0	0	0.173648	0	0	0.205617	-0.00197372	0.000575932	0.000256125	0.0146111	-0.0214567	-9.81551	0	0	0	99875.5	img_1674395081230162100.png;img_1674395081231736600.ppm;img_1674395081447078300.ppm
SimpleFlight	1674395077473	0	0	0.885673	0.984808	0	0	0.173648	0	0	0.204286	0.00238534	-0.00275667	-0.000181755	0.00599154	0.069417	-9.78198	0	0	0	99877.9	img_1674395081928167100.png;img_1674395081929690300.ppm;img_1674395082098604300.ppm
SimpleFlight	1674395077953	0	0	0.983594	0.984808	0	0	0.173648	0	0	0.203756	0.000277259	0.00207881	-0.000622769	-0.0153931	0.0505387	-9.79858	0	0	0	99881.5	img_1674395082503104100.png;img_1674395082504262700.ppm;img_1674395082611349100.ppm
SimpleFlight	1674395078583	0	0	1.11183	0.984808	0	0	0.173648	0	0	0.203375	0.00143066	0.00062738	-0.000491553	0.0381788	-0.016851	-9.78433	0	0	0	99879.9	img_1674395083137232900.png;img_1674395083153581600.ppm;img_1674395083266307400.ppm
SimpleFlight	1674395078916	0	0	1.17953	0.984808	0	0	0.173648	0	0	0.203258	0.00182725	-0.000802184	0.00268288	-0.0236512	0.0305228	-9.8006	0	0	0	99881.9	img_1674395083499820700.png;img_1674395083500470000.ppm;img_1674395083602541400.ppm
SimpleFlight	1674395079222	0	0	1.24172	0.984808	0	0	0.173648	0	0	0.203183	0.00197472	0.00152905	-0.00029706	-0.0227066	0.00203283	-9.79867	0	0	0	99878.9	img_1674395083820034400.png;img_1674395083820621200.ppm;img_1674395083915871400.ppm
SimpleFlight	1674395079576	0	0	1.31364	0.984808	0	0	0.173648	0	0	0.203122	0.00395552	-0.000772631	0.000964696	0.0424908	0.0224146	-9.79303	0	0	0	99884.6	img_1674395084149439800.png;img_1674395084150078200.ppm;img_1674395084249519200.ppm
SimpleFlight	1674395079906	0	0	1.38066	0.984808	0	0	0.173648	0	0	0.203082	-0.00215678	0.000677961	0.000138329	-0.00520485	-0.0286198	-9.88869	0	0	0	99882.9	img_1674395084501718300.png;img_1674395084502322400.ppm;img_1674395084596805200.ppm
SimpleFlight	1674395080230	0	0	1.44646	0.984808	0	0	0.173648	0	0	0.203056	-0.00129296	0.000557819	-0.00404776	-0.0227599	0.0121866	-9.85715	0	0	0	99885.7	img_1674395084823194200.png;img_1674395084824189600.ppm;img_1674395084909691000.ppm
SimpleFlight	1674395080563	0	0	1.51407	0.984808	0	0	0.173648	0	0	0.203036	-0.00120123	0.00270756	0.000927279	-0.0203871	0.0475589	-9.82665	0	0	0	99885	img_1674395085156467000.png;img_1674395085157109900.ppm;img_1674395085254121700.ppm
SimpleFlight	1674395080923	0	0	1.58716	0.984808	0	0	0.173648	0	0	0.203022	-0.00286093	-0.0010921	-0.000437459	0.025259	-0.0399045	-9.80735	0	0	0	99887.5	img_1674395085500657900.png;img_1674395085501264500.ppm;img_1674395085604894600.ppm
SimpleFlight	1674395081253	0	0	1.65416	0.984808	0	0	0.173648	0	0	0.203013	-0.000611901	0.00290569	-0.000458094	0.06897	-0.0398681	-9.78015	0	0	0	99887.6	img_1674395085833168500.png;img_1674395085833740100.ppm;img_1674395085931777000.ppm
SimpleFlight	1674395081643	0	0	1.73333	0.984808	0	0	0.173648	0	0	0.203005	0.000292747	0.0012475	-0.0021103	-0.0570167	-0.00142902	-9.78028	0	0	0	99893.9	img_1674395086184355900.png;img_1674395086185444200.ppm;img_1674395086286730800.ppm
SimpleFlight	1674395082303	0	0	1.71335	0.984808	0	0	0.173648	0	0	0	0.00249134	0.00220899	-0.000918059	0.0557962	0.00248482	-9.83888	0	0	0	99891.4	img_1674395086863309400.png;img_1674395086863939800.ppm;img_1674395086971517400.ppm
