VehicleName	      TimeStamp	      POS_X	POS_Y	POS_Z	      Q_W	     Q_X	Q_Y	Q_Z	      vx	vy	vz	   Angular_vx	Angular_vy	Angular_vz	  AccX	      AccY	      AccZ	      AccAX	AccAY	AccAZ	Pressure	ImageFile
SimpleFlight	1674400139371	0	0	1.4627	0.984808	0	0	0.173648	0	0	-0.462472	-0.00269447	-0.00142653	-0.00134647	0.0359338	-0.0211192	-9.8768	0	0	0	99884.3	img_1674400151873280500.png;img_1674400151873819300.ppm;img_1674400151951990100.ppm
SimpleFlight	1674400139707	0	0	1.30542	0.984808	0	0	0.173648	0	0	-0.473053	0.00359291	0.00140316	0.00197445	-0.0228877	-0.00927838	-9.84097	0	0	0	99882.4	img_1674400152204305200.png;img_1674400152204833600.ppm;img_1674400152286189500.ppm
SimpleFlight	1674400140058	0	0	1.13796	0.984808	0	0	0.173648	0	0	-0.480649	-0.00148741	-0.000229341	0.00240833	-0.0951444	0.0187368	-9.88785	0	0	0	99882	img_1674400152547112700.png;img_1674400152547676900.ppm;img_1674400152629437100.ppm
SimpleFlight	1674400140424	0	0	0.960991	0.984808	0	0	0.173648	0	0	-0.486004	-0.000715737	-0.000912104	0.000468881	-0.0180041	0.03301	-9.76248	0	0	0	99877.9	img_1674400152882924500.png;img_1674400152883501200.ppm;img_1674400152988156800.ppm
SimpleFlight	1674400141051	0	0	0.654375	0.984808	0	0	0.173648	0	0	-0.491404	-0.000357895	0.00164963	0.000955047	-0.113997	-0.0662467	-9.74742	0	0	0	99876.4	img_1674400153547086000.png;img_1674400153547631700.ppm;img_1674400153637839900.ppm
SimpleFlight	1674400141408	0	0	0.478603	0.984808	0	0	0.173648	0	0	-0.493177	-0.0023807	-0.000644782	-0.000484069	0.00941135	-0.000858897	-9.79965	0	0	0	99873.4	img_1674400153913850200.png;img_1674400153914406200.ppm;img_1674400153995906500.ppm
SimpleFlight	1674400141753	0	0	0.308239	0.984808	0	0	0.173648	0	0	-0.494343	-0.000913928	0.000773689	-0.00224552	-0.0461542	0.0857574	-9.79754	0	0	0	99872.5	img_1674400154228672200.png;img_1674400154229748500.ppm;img_1674400154321931200.ppm
SimpleFlight	1674400142053	0	0	0.177189	0.984808	0	0	0.173648	0	0	-0.106777	0.00190762	0.00132918	-0.00338249	-0.0353242	-0.0342878	-6.7885	0	0	0	99866.5	img_1674400154555649800.png;img_1674400154567927500.ppm;img_1674400154645828500.ppm
SimpleFlight	1674400142419	0	0	0.22741	0.984808	0	0	0.173648	0	0	0.239739	0.00236562	9.69647e-05	0.00303622	0.035621	0.0130948	-9.83874	0	0	0	99871	img_1674400154887069300.png;img_1674400154887799300.ppm;img_1674400154992904900.ppm
SimpleFlight	1674400142731	0	0	0.300706	0.984808	0	0	0.173648	0	0	0.229916	0.000350206	-0.00097683	-0.000545711	0.101819	-0.0208149	-9.85518	0	0	0	99873.5	img_1674400155225941800.png;img_1674400155226523800.ppm;img_1674400155302391100.ppm
SimpleFlight	1674400143064	0	0	0.375815	0.984808	0	0	0.173648	0	0	0.221675	-0.000290266	-0.0025195	3.36279e-05	-0.00784394	-0.0215221	-9.80524	0	0	0	99870.9	img_1674400155562331200.png;img_1674400155562995100.ppm;img_1674400155643307200.ppm
SimpleFlight	1674400143391	0	0	0.447328	0.984808	0	0	0.173648	0	0	0.21604	0.00101446	0.00156549	-0.00109506	-0.104485	0.0375571	-9.84149	0	0	0	99876.9	img_1674400155902994200.png;img_1674400155903625400.ppm;img_1674400155982410500.ppm
SimpleFlight	1674400143742	0	0	0.522381	0.984808	0	0	0.173648	0	0	0.211868	0.000196932	0.00026213	-0.000954063	-0.0432813	-0.0113722	-9.85556	0	0	0	99876	img_1674400156240622700.png;img_1674400156241256400.ppm;img_1674400156332264900.ppm
SimpleFlight	1674400144093	0	0	0.596218	0.984808	0	0	0.173648	0	0	0.20903	-0.000140587	0.000329544	0.000222086	-0.00356098	0.0591114	-9.81318	0	0	0	99879	img_1674400156586434300.png;img_1674400156587134400.ppm;img_1674400156680178000.ppm
SimpleFlight	1674400144423	0	0	0.664879	0.984808	0	0	0.173648	0	0	0.207196	-9.09739e-06	-0.00111266	-0.000685037	0.0321884	-0.03828	-9.79551	0	0	0	99875.3	img_1674400156915859000.png;img_1674400156916920000.ppm;img_1674400157001565800.ppm
SimpleFlight	1674400144744	0	0	0.731178	0.984808	0	0	0.173648	0	0	0.205948	-0.00340895	0.00175992	-0.000258818	-0.0358582	0.0206755	-9.79858	0	0	0	99876.3	img_1674400157250366200.png;img_1674400157251405500.ppm;img_1674400157330840000.ppm
SimpleFlight	1674400145101	0	0	0.804521	0.984808	0	0	0.173648	0	0	0.20499	0.000636948	0.00296624	0.00249318	0.0120523	0.0651048	-9.76896	0	0	0	99873	img_1674400157585746600.png;img_1674400157586554800.ppm;img_1674400157669746300.ppm
SimpleFlight	1674400145437	0	0	0.873289	0.984808	0	0	0.173648	0	0	0.204374	0.00277729	0.000146597	0.00282982	-0.0522165	0.0280943	-9.81736	0	0	0	99877.8	img_1674400157923535600.png;img_1674400157924094400.ppm;img_1674400158018323600.ppm
SimpleFlight	1674400145758	0	0	0.938825	0.984808	0	0	0.173648	0	0	0.203964	-0.00280599	0.000816583	-0.00304465	0.0163216	0.0179585	-9.85579	0	0	0	99879.9	img_1674400158256439100.png;img_1674400158257549900.ppm;img_1674400158348357200.ppm
SimpleFlight	1674400146097	0	0	1.00792	0.984808	0	0	0.173648	0	0	0.203662	-0.00208781	1.91111e-05	0.0010199	0.021456	0.0213951	-9.86388	0	0	0	99878.6	img_1674400158590820800.png;img_1674400158592217000.ppm;img_1674400158675887100.ppm
SimpleFlight	1674400146421	0	0	1.07387	0.984808	0	0	0.173648	0	0	0.203462	-0.000350088	-0.00177141	-0.00198929	0.0282098	-0.0395562	-9.79708	0	0	0	99883.7	img_1674400158925695000.png;img_1674400158926731700.ppm;img_1674400159010872700.ppm
SimpleFlight	1674400146793	0	0	1.14953	0.984808	0	0	0.173648	0	0	0.203305	-0.000236818	-0.00057642	-0.00103785	0.0688515	-0.0689173	-9.80109	0	0	0	99883.9	img_1674400159273219200.png;img_1674400159274219600.ppm;img_1674400159368110600.ppm
SimpleFlight	1674400147414	0	0	1.27573	0.984808	0	0	0.173648	0	0	0.203151	-0.00244629	-0.000642825	-5.92196e-05	-0.0772075	-0.0571891	-9.82959	0	0	0	99888.5	img_1674400159919883500.png;img_1674400159920599700.ppm;img_1674400160008794700.ppm
SimpleFlight	1674400147753	0	0	1.34459	0.984808	0	0	0.173648	0	0	0.203102	-0.000338145	-0.00191103	-0.00122023	0.0355382	-0.00936064	-9.80637	0	0	0	99880.2	img_1674400160259750400.png;img_1674400160260381300.ppm;img_1674400160340664600.ppm
SimpleFlight	1674400148110	0	0	1.41709	0.984808	0	0	0.173648	0	0	0.203066	-0.000621688	0.0014239	0.00122905	0.024832	-0.00686086	-9.78163	0	0	0	99881.3	img_1674400160595447500.png;img_1674400160596572800.ppm;img_1674400160675406300.ppm
SimpleFlight	1674400148449	0	0	1.48593	0.984808	0	0	0.173648	0	0	0.203044	-0.00176857	8.08485e-05	-0.00189701	-0.0260089	0.064375	-9.82629	0	0	0	99882.7	img_1674400160948202800.png;img_1674400160949181600.ppm;img_1674400161034740000.ppm
SimpleFlight	1674400148764	0	0	1.54989	0.984808	0	0	0.173648	0	0	0.203029	0.000205373	-0.00133704	0.00130818	-0.0164818	0.0636778	-9.87572	0	0	0	99887.2	img_1674400161263252500.png;img_1674400161276499800.ppm;img_1674400161355571300.ppm
SimpleFlight	1674400149094	0	0	1.61688	0.984808	0	0	0.173648	0	0	0.203018	-0.00145992	0.00177471	-0.0018888	-0.00237494	0.0447638	-9.78593	0	0	0	99880.9	img_1674400161597209300.png;img_1674400161597887500.ppm;img_1674400161677735500.ppm
SimpleFlight	1674400149427	0	0	1.68449	0.984808	0	0	0.173648	0	0	0.20301	-6.44998e-05	9.55457e-05	0.00028749	-0.0156165	-0.0153048	-9.84228	0	0	0	99888.2	img_1674400161934454600.png;img_1674400161935370500.ppm;img_1674400162014680100.ppm
SimpleFlight	1674400149796	0	0	1.7594	0.984808	0	0	0.173648	0	0	0.203004	-0.000669311	-0.00109004	-0.00124736	0.0352342	0.03853	-9.82834	0	0	0	99888.8	img_1674400162274642700.png;img_1674400162275299600.ppm;img_1674400162375422700.ppm
