VehicleName	      TimeStamp	      POS_X	POS_Y	POS_Z	      Q_W	     Q_X	Q_Y	Q_Z	      vx	vy	vz	   Angular_vx	Angular_vy	Angular_vz	  AccX	      AccY	      AccZ	      AccAX	AccAY	AccAZ	Pressure	ImageFile
SimpleFlight	1674395111608	0	0	1.37197	0.984808	0	0	0.173648	0	0	-0.46908	-0.00129598	0.0003542	-0.000512043	0.0249595	0.0343125	-9.79053	0	0	0	99887.5	img_1674395116527848500.png;img_1674395116528695900.ppm;img_1674395116671170400.ppm
SimpleFlight	1674395112265	0	0	1.05854	0.984808	0	0	0.173648	0	0	-0.483328	-5.53472e-05	0.000701751	0.00128435	0.0269497	-0.0287567	-9.83755	0	0	0	99875.4	img_1674395117191267900.png;img_1674395117191924900.ppm;img_1674395117340903500.ppm
SimpleFlight	1674395112946	0	0	0.726668	0.984808	0	0	0.173648	0	0	-0.490448	-0.000329549	-0.00117254	-0.000165951	0.0349961	-0.00243654	-9.81631	0	0	0	99878.7	img_1674395117857350700.png;img_1674395117858227500.ppm;img_1674395118029756800.ppm
SimpleFlight	1674395113585	0	0	0.41211	0.984808	0	0	0.173648	0	0	-0.493686	-0.00249489	-0.00183431	0.00105292	-0.0219411	-0.100782	-9.72285	0	0	0	99869.5	img_1674395118577818600.png;img_1674395118578505800.ppm;img_1674395118680415100.ppm
SimpleFlight	1674395114200	0	0	0.175209	0.984808	0	0	0.173648	0	0	0.024427	-0.00332388	0.00291752	0.00162465	-0.0468075	-0.058269	-8.04861	0	0	0	99869.7	img_1674395119197311400.png;img_1674395119198323500.ppm;img_1674395119314336100.ppm
SimpleFlight	1674395114953	0	0	0.341767	0.984808	0	0	0.173648	0	0	0.225091	0.00114973	0.00114389	0.000240083	-0.0128324	0.0225251	-9.74314	0	0	0	99869.7	img_1674395119840165300.png;img_1674395119840810500.ppm;img_1674395120028909000.ppm
SimpleFlight	1674395115763	0	0	0.518052	0.984808	0	0	0.173648	0	0	0.212075	-0.00213804	0.00124638	0.000911771	-0.0882716	-0.0311353	-9.78155	0	0	0	99870.3	img_1674395120867001400.png;img_1674395120879410400.ppm;img_1674395121168957700.ppm
SimpleFlight	1674395116324	0	0	0.635739	0.984808	0	0	0.173648	0	0	0.207899	0.000696144	0.00465374	0.000239444	0.041911	0.0139821	-9.83405	0	0	0	99876.6	img_1674395121621427200.png;img_1674395121622732600.ppm;img_1674395121774485500.ppm
SimpleFlight	1674395116936	0	0	0.76216	0.984808	0	0	0.173648	0	0	0.205499	0.000560037	-0.00263909	-0.00126877	0.0369334	0.0227379	-9.89963	0	0	0	99877.9	img_1674395122285035100.png;img_1674395122285852100.ppm;img_1674395122396673900.ppm
SimpleFlight	1674395117650	0	0	0.90834	0.984808	0	0	0.173648	0	0	0.204138	-0.000843938	0.000354411	-0.000680352	0.0443127	-0.0342563	-9.80756	0	0	0	99878.2	img_1674395122953918700.png;img_1674395122954708200.ppm;img_1674395123067658400.ppm
SimpleFlight	1674395118286	0	0	1.03797	0.984808	0	0	0.173648	0	0	0.203563	0.000489489	0.000299026	0.0020053	-0.0448258	-0.0339485	-9.84611	0	0	0	99876.3	img_1674395123627634700.png;img_1674395123628865000.ppm;img_1674395123770023200.ppm
SimpleFlight	1674395118958	0	0	1.17466	0.984808	0	0	0.173648	0	0	0.203266	-0.000260794	-0.00117202	0.000101625	0.0511207	0.0068157	-9.81831	0	0	0	99882.8	img_1674395124299687000.png;img_1674395124300539300.ppm;img_1674395124434309700.ppm
SimpleFlight	1674395119552	0	0	1.29535	0.984808	0	0	0.173648	0	0	0.203135	0.00144915	0.00250991	0.000754259	0.0136316	-0.110784	-9.82033	0	0	0	99886.7	img_1674395124935367300.png;img_1674395124935996000.ppm;img_1674395125042778600.ppm
SimpleFlight	1674395120212	0	0	1.4294	0.984808	0	0	0.173648	0	0	0.203062	3.70102e-05	-0.00400766	-0.000388332	-0.0463519	-0.0607664	-9.77001	0	0	0	99886.1	img_1674395125609053000.png;img_1674395125609634900.ppm;img_1674395125716278800.ppm
SimpleFlight	1674395120875	0	0	1.56402	0.984808	0	0	0.173648	0	0	0.203026	0.000287941	-0.00116474	-0.00132937	-0.0564857	0.0284539	-9.76085	0	0	0	99887.3	img_1674395126255094200.png;img_1674395126255699900.ppm;img_1674395126359840300.ppm
SimpleFlight	1674395121505	0	0	1.69192	0.984808	0	0	0.173648	0	0	0.203009	-0.00328467	0.000883945	0.00130332	-0.0245734	-0.0221311	-9.79362	0	0	0	99889	img_1674395126930826100.png;img_1674395126931420700.ppm;img_1674395127010136500.ppm
SimpleFlight	1674395121907	0	0	1.77353	0.984808	0	0	0.173648	0	0	0.203003	-0.000205357	0.00155365	0.000918344	0.0458311	0.0197703	-9.83731	0	0	0	99889	img_1674395127261343700.png;img_1674395127261887100.ppm;img_1674395127389427400.ppm
SimpleFlight	1674395122528	0	0	1.71335	0.984808	0	0	0.173648	0	0	0	0.00174967	0.000834238	0.00162356	0.0937546	-0.0262917	-9.77501	0	0	0	99891	img_1674395127953587400.png;img_1674395127954112400.ppm;img_1674395128032238800.ppm
