VehicleName	      TimeStamp	      POS_X	POS_Y	POS_Z	      Q_W	     Q_X	Q_Y	Q_Z	      vx	vy	vz	   Angular_vx	Angular_vy	Angular_vz	  AccX	      AccY	      AccZ	      AccAX	AccAY	AccAZ	Pressure	ImageFile
SimpleFlight	1674238602748	0	0	1.44569	0.984808	0	0	0.173648	0	0	-0.463472	-0.000433902	-0.00167568	0.00104736	-0.0310922	0.0321781	-9.89255	0	0	0	99882.5	img__1674238602934451300.png;img__1674238602935249500.ppm;img__1674238603045912500.ppm
SimpleFlight	1674238603111	0	0	1.27533	0.984808	0	0	0.173648	0	0	-0.474419	-7.98883e-05	0.00182928	-0.00162991	0.00822092	0.0453628	-9.83151	0	0	0	99885.5	img__1674238603279352700.png;img__1674238603279902000.ppm;img__1674238603390824800.ppm
SimpleFlight	1674238603747	0	0	0.969601	0.984808	0	0	0.173648	0	0	-0.485677	0.000372782	-0.0021045	0.000303663	0.0384526	0.0273783	-9.83343	0	0	0	99880.6	img__1674238603950580200.png;img__1674238603951225500.ppm;img__1674238604051983700.ppm
SimpleFlight	1674238604071	0	0	0.811665	0.984808	0	0	0.173648	0	0	-0.489021	0.00174551	-0.00196489	-0.000210982	-0.0244063	-0.0351272	-9.83141	0	0	0	99872.5	img__1674238604278976600.png;img__1674238604279569000.ppm;img__1674238604365451000.ppm
SimpleFlight	1674238604428	0	0	0.636597	0.984808	0	0	0.173648	0	0	-0.491564	-0.00215645	-0.000950589	-0.000179235	0.012997	0.023688	-9.83702	0	0	0	99871.3	img__1674238604611125100.png;img__1674238604611698000.ppm;img__1674238604726483800.ppm
SimpleFlight	1674238604758	0	0	0.474095	0.984808	0	0	0.173648	0	0	-0.493177	-9.20762e-05	0.00200228	-0.00397386	0.00318144	-0.00747037	-9.7689	0	0	0	99879.3	img__1674238604948334500.png;img__1674238604948938900.ppm;img__1674238605050310900.ppm
SimpleFlight	1674238605076	0	0	0.317078	0.984808	0	0	0.173648	0	0	-0.494267	-0.000853965	0.00121673	0.00123971	-0.0180916	0.0080896	-9.8703	0	0	0	99872.9	img__1674238605278076000.png;img__1674238605278658400.ppm;img__1674238605369221300.ppm
SimpleFlight	1674238605418	0	0	0.171391	0.984808	0	0	0.173648	0	0	-0.0675061	-0.00293403	-0.000668389	-3.95093e-05	-0.0494284	0.0472884	-7.5708	0	0	0	99873.5	img__1674238605620910500.png;img__1674238605621556400.ppm;img__1674238605724719900.ppm
SimpleFlight	1674238605760	0	0	0.220744	0.984808	0	0	0.173648	0	0	0.239876	0.00117867	-0.000411294	-0.000552311	-0.0441685	-0.0464667	-9.83796	0	0	0	99868.1	img__1674238605970735300.png;img__1674238605971316800.ppm;img__1674238606065051400.ppm
SimpleFlight	1674238606105	0	0	0.301709	0.984808	0	0	0.173648	0	0	0.229217	0.00171753	0.00306568	-0.000565228	-0.00495007	-0.0243299	-9.91992	0	0	0	99870.5	img__1674238606294681200.png;img__1674238606295480300.ppm;img__1674238606386550500.ppm
